Fecha,TC Minorista,TC Mayorista,Base monetaria,Circulación monetaria,Billetes en público,Efectivo en entidades financieras,Depósitos de bancos en cta. cte.,Depósitos en efectivo en entidades financieras,En cuentas corrientes,En Caja de ahorros,A plazo,M2 privado,Préstamos de entidades financieras al sector privado,Inflación mensual,Inflación interanual,REM,"TNA de depósitos a plazo fijo en pesos, 30-44 días","TNA de depósitos a plazo fijo en pesos, 30-44 días, hasta $100.000","TNA de depósitos a plazo fijo en pesos, 30-44 días, de más de $1.000.000",TAMAR,BADLAR,CER,UVA,UVI
02/07/2026,1512.64,1490.6754,45099295.0,28252092.0,26028793.0,2223299.0,16847203.0,228098467.0,29413600.0,82557597.0,102295881.0,19.5,138619107.0,,,,21.48,19.2,21.72,22.125,21.3125,800.31139250214,2019.65,1463.33
01/07/2026,1511.11,1487.769,46035751.0,28000802.0,25896148.0,2104654.0,18034949.0,229907683.0,30647400.0,82938274.0,102083918.0,19.4,138252819.0,,,,21.01,19.17,21.57,22.1875,20.9375,799.75716773184,2018.25,1461.6
30/06/2026,1502.09,1483.0198,45711975.0,27890209.0,25781880.0,2108329.0,17821766.0,228857499.0,32308476.0,81487974.0,101659437.0,19.2,138206294.0,,,22.3,21.61,19.2,21.86,22.6875,21.0,799.20332676852,2016.85,1459.88
29/06/2026,1498.22,1480.6598,44953461.0,27763906.0,25694522.0,2069384.0,17189555.0,226015335.0,33398289.0,77841795.0,101321657.0,18.8,137522419.0,,,,20.96,18.99,21.83,22.9375,21.0,798.64986934639,2012.67,1454.73
28/06/2026,,,,,,,,,,,,18.8,,,,,,,,,,798.09679519983,2012.67,1454.73
27/06/2026,,,,,,,,,,,,19.1,,,,,,,,,,797.54410406343,2012.67,1454.73
26/06/2026,1495.57,1474.7207,43761087.0,27540812.0,25424157.0,2116655.0,16220275.0,224940958.0,32081537.0,76708217.0,102971238.0,19.1,136333232.0,,,,20.58,18.63,20.91,22.5625,20.25,796.99179567195,2011.27,1453.01
25/06/2026,1498.12,1477.2991,44451195.0,27358027.0,25248149.0,2109878.0,17093168.0,225143575.0,34555868.0,74739563.0,102738929.0,19.0,135922920.0,,,,21.37,18.83,21.53,22.8125,21.25,796.43986976033,2009.88,1451.3
24/06/2026,1498.05,1478.0437,44249822.0,27124381.0,25094436.0,2029945.0,17125441.0,224321298.0,33746877.0,73810507.0,103485580.0,18.8,135892135.0,,,,21.85,18.99,21.3,22.25,21.5625,795.8883260637,2008.49,1449.59
23/06/2026,1491.13,1469.9138,43386638.0,27044370.0,24991363.0,2053007.0,16342268.0,223098345.0,34727999.0,73238902.0,103453404.0,18.7,135286239.0,,,,21.83,18.84,21.7,22.5,21.6875,795.33716431737,2007.1,1447.88
